ARC,GDOT
698,7
699,7
700,10
701,10
702,10
703,10
704,10
705,10
706,10
707,10
708,10
709,10
710,10
711,10
712,10
713,3
714,3
715,10
716,3
717,10
718,10
719,10
720,10
721,10
722,10
723,10
724,10
725,10
726,10
727,10
728,10
729,10
730,10
731,10
732,10
733,10
734,10
735,3
736,3
737,3
738,10
739,10
740,10
741,10
742,10
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,1
751,1
752,1
753,3
754,3
755,3
756,3
757,3
758,3
759,3
760,1
761,1
762,1
763,1
764,1
765,1
766,1
767,10
768,10
769,10
770,10
771,10
772,10
773,10
774,10
775,10
776,10
777,10
778,10
779,10
780,10
781,6
782,6
783,6
784,6
785,6
786,6
787,6
788,6
789,6
790,6
791,8
792,8
793,8
794,8
795,8
796,8
797,8
798,8
799,8
800,8
801,8
802,8
803,8
804,8
805,8
806,8
807,8
808,8
809,8
810,8
811,8
812,8
813,8
814,8
815,8
816,8
817,8
818,8
819,8
820,8
821,8
822,8
823,8
824,8
825,8
826,8
827,8
828,8
829,8
830,8
831,8
832,8
833,8
834,8
835,8
836,2
837,2
838,2
839,2
840,2
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,5
853,5
854,5
855,5
856,5
857,5
858,8
859,8
860,8
861,8
862,5
863,5
864,5
865,5
866,5
867,5
868,5
869,5
870,8
871,8
872,8
873,8
874,8
875,8
876,8
877,8
878,8
879,9
880,9
881,9
882,9
883,9
884,9
885,9
886,9
887,9
888,9
889,9
890,9
891,9
892,9
893,9
894,9
895,9
896,9
897,9
898,9
899,53
900,53
901,53
902,53
903,54
904,54
905,54
906,54
907,54
908,54
909,41
910,41
911,41
912,41
913,41
914,41
915,41
916,41
917,41
918,41
919,41
920,41
921,50
922,50
923,50
924,50
925,41
926,50
927,50
928,50
929,50
930,50
931,50
932,48
933,50
934,50
935,50
936,50
937,50
938,50
939,50
940,50
941,50
942,50
943,50
944,47
945,47
946,47
947,47
948,47
949,47
950,40
951,40
952,40
953,40
954,40
955,40
956,40
957,40
958,40
959,40
960,39
961,39
962,39
963,39
964,39
965,39
966,39
967,39
968,39
969,39
970,47
971,47
972,47
973,47
974,47
