"ID","DATA","LONGITUDE","LATITUDE","centroid"
912260,56557,-84348897,33911424,7884
912292,49001,-84350288,33914812,3869
912364,55559,-84369411,33926004,7349
912372,53159,-84369322,33916948,6061
912404,53157,-84369501,33935059,6060
912420,55553,-84369590,33944116,7346
912452,56560,-84357089,33915899,7886
912492,56438,-84361196,33919268,7820
912524,56562,-84354373,33915917,7887
912532,56440,-84355764,33919305,7821
912540,56274,-84350332,33919341,7733
916886,56342,-84339554,33928471,7769
916942,56350,-84334035,33919450,7773
916958,52339,-84325867,33917238,5629
916982,56346,-84334078,33923979,7771
916990,56344,-84334121,33928506,7770
916998,55142,-84325951,33926295,7115
917014,55140,-84336902,33935279,7114
917062,55138,-84336989,33944336,7113
917070,52337,-84320646,33939914,5628
917086,55144,-84315086,33926365,7116
917126,54658,-84303890,33890204,6851
920786,55789,-84337247,33971510,7471
920826,55785,-84348205,33980494,7469
920866,53587,-84320984,33976143,6285
920874,47741,-84348292,33989549,3210
920914,55787,-84337333,33980566,7470
920946,54548,-84337419,33989621,6793
920994,54544,-84348379,33998605,6791
921002,54546,-84337505,33998677,6792
918854,51076,-84386393,33993817,4963
918886,53531,-84386576,34011931,6257
918902,53153,-84369680,33953174,6058
918918,55545,-84358811,33953248,7342
918934,55541,-84369769,33962232,7340
918950,55543,-84358900,33962306,7341
919006,51096,-84342553,33957886,4973
919022,53151,-84369859,33971290,6057
919030,55535,-84369948,33980346,7337
919046,55539,-84358988,33971364,7339
919070,53585,-84348118,33971437,6284
919086,55537,-84359077,33980420,7338
929355,56205,-84194712,33818384,7697
929379,54368,-84189393,33832002,6699
929387,56207,-84183860,33818444,7698
929403,51111,-84211246,33849998,4981
929435,53630,-84211393,33868114,6308
929475,53634,-84189535,33850119,6310
929483,53632,-84195069,33863677,6309
929507,55874,-84184212,33863736,7516
929515,55870,-84195141,33872734,7514
929539,53628,-84195212,33881790,6307
925321,55167,-84249356,33863367,7129
925337,55166,-84249433,33872424,7128
925345,54802,-84249510,33881480,6931
925353,53622,-84238650,33881543,6304
925417,56199,-84238119,33818139,7694
925497,54599,-84249202,33845250,6820
925521,54597,-84249279,33854309,6819
925537,54362,-84232807,33831758,6696
925561,52350,-84238347,33845314,5635
931220,55859,-84195427,33908963,7508
931300,55866,-84184423,33890906,7512
931308,55864,-84195284,33890846,7511
931348,55862,-84184493,33899964,7510
931356,53626,-84195355,33899905,6306
931372,55861,-84184564,33909022,7509
931388,55834,-84184634,33918080,7495
931404,55329,-84173701,33909080,7220
931420,48703,-84168373,33922695,3713
931492,54798,-84206362,33917961,6928
931500,54796,-84206435,33927018,6927
931508,53617,-84195498,33918021,6301
931532,55831,-84195570,33927078,7493
931540,55832,-84184705,33927137,7494
934658,55769,-84250977,34053563,7461
934674,48997,-84261937,34062555,3867
934706,54577,-84262015,34071612,6809
934762,54581,-84251055,34062620,6811
934778,54579,-84251132,34071677,6810
934794,54775,-84250745,34026395,6916
934810,54773,-84250823,34035451,6915
934826,52331,-84234316,34012904,5625
934842,53571,-84234468,34031018,6277
934906,53573,-84218261,34044695,6278
943742,53100,-83949505,33615681,6029
943758,53460,-84014573,33633551,6220
943798,53458,-84014678,33651667,6219
943830,50080,-83992913,33633637,4436
943934,53454,-84014783,33669784,6217
943942,53452,-84014889,33687901,6216
943958,52649,-83993014,33651753,5789
943982,51932,-83993116,33669870,5411
942533,54475,-84037222,33796507,6755
942629,51906,-84037333,33814622,5397
942645,54479,-84015418,33778482,6757
942661,54477,-84015524,33796598,6756
942669,53472,-84014151,33561081,6226
942709,53470,-84014256,33579199,6225
942749,48483,-83992509,33561168,3595
942781,52202,-83992610,33579286,5555
939839,51015,-84112099,33642172,4930
939855,51013,-84112351,33678405,4929
939887,51016,-84079785,33669502,4931
939919,51022,-84068546,33606141,4934
939935,53468,-84035901,33579109,6224
939951,51024,-84036011,33597225,4935
939999,48908,-84068779,33642375,3819
940023,53448,-84058117,33669600,6214
940063,53462,-84036120,33615343,6221
940079,51020,-84036230,33633461,4933
940095,53464,-84014467,33615433,6222
944373,54492,-83993217,33687987,6764
944437,52652,-83971255,33633720,5791
944461,52650,-83971352,33651835,5790
944525,54496,-83971448,33669953,6766
944557,50661,-83949228,33561329,4744
944589,53105,-83949320,33579447,6032
944629,53109,-83927587,33561404,6034
941880,51913,-84025889,33715030,5401
941944,51910,-84069480,33751074,5399
941976,50071,-84080500,33778200,4431
942016,52647,-84058806,33778297,5788
942040,52643,-84080619,33796316,5786
942072,52645,-84058920,33796413,5787
942088,54467,-84059035,33814528,6751
942104,51911,-84026105,33751262,5400
942112,51908,-84037111,33778391,5398
943139,53466,-84014361,33597315,6223
943179,52206,-83970869,33561250,5557
943203,52204,-83970965,33579368,5556
943243,50657,-83992711,33597402,4742
943315,53098,-83971062,33597484,6028
943331,53094,-83992813,33615519,6026
943379,53096,-83971158,33615602,6027
943395,50659,-83949412,33597563,4743
955403,55064,-84065303,33945839,7073
955435,53222,-84059956,33959450,6094
955483,55066,-84054435,33945887,7074
955523,53220,-84060071,33977564,6093
963184,55913,-84033139,34018439,7536
963200,53859,-84016798,34013976,6426
963216,53855,-84016904,34032091,6424
963232,52123,-83995045,34014063,5513
963280,50458,-83995147,34032178,4637
963328,53853,-84017010,34050204,6423
963408,52884,-83995250,34050290,5915
952795,53210,-84108836,33954696,6088
952851,55593,-84108898,33963754,7367
952859,53209,-84108961,33972812,6087
952875,55606,-84097905,33945689,7374
952891,55597,-84097967,33954747,7369
952907,55595,-84098028,33963805,7368
952931,55059,-84087037,33945740,7070
952987,55592,-84098090,33972863,7366
950772,53242,-84043288,33900649,6104
950796,50827,-84037775,33887085,4830
950804,55643,-84032426,33900694,7393
950812,55639,-84043344,33909707,7391
950844,50823,-84037996,33923316,4828
950868,53230,-84043512,33936877,6098
950892,55634,-84043567,33945934,7388
950940,55636,-84032700,33945980,7389
950948,55641,-84032481,33909753,7392
950980,55638,-84032645,33936924,7390
961246,51417,-83896632,33896663,5141
961294,55187,-84000097,33946113,7139
961302,55632,-84011017,33955128,7387
961342,54816,-84000200,33964229,6938
961374,55630,-84011070,33964186,7386
961382,55626,-84011122,33973244,7384
961398,55624,-84011175,33982300,7383
961446,51405,-84000148,33955171,5135
949520,54471,-84015736,33832829,6753
949528,50829,-84037553,33850855,4831
949552,53248,-84037664,33868971,6107
949600,53252,-84015842,33850946,6109
949664,50825,-84081216,33886893,4829
949712,53236,-84081335,33905008,6101
961887,54820,-83989279,33955214,6940
962031,53873,-83994842,33977836,6434
962039,54818,-83989330,33964272,6939
962071,55921,-84011228,33991356,7540
962087,55915,-84033084,34009381,7537
962103,55917,-84022155,34000368,7538
950126,53240,-84059495,33886991,6103
950150,53238,-84059611,33905106,6102
950198,54572,-84075992,33918621,6805
950214,52246,-84086977,33936683,5579
950222,54570,-84076052,33927678,6804
950238,52249,-84065128,33918670,5581
950254,55063,-84076111,33936733,7072
950278,55070,-84065186,33927727,7076
950310,55074,-84054264,33918718,7078
950334,55072,-84054321,33927775,7077
950358,52247,-84065244,33936782,5580
950366,55068,-84054378,33936830,7075
948163,52751,-84102812,33868678,5844
948179,52747,-84102936,33886792,5842
948235,52745,-84103060,33904907,5841
948347,53216,-84108585,33918469,6091
948355,55610,-84108648,33927525,7376
948371,53214,-84108710,33936581,6090
948387,55608,-84097844,33936632,7375
948403,55614,-84097721,33918520,7378
948419,55612,-84097782,33927577,7377
948443,48705,-84086856,33918571,3714
947548,55051,-84141310,33936420,7066
947564,55057,-84141178,33918308,7069
947580,55055,-84141244,33927365,7068
947596,54738,-84130379,33927419,6896
947612,50817,-84130313,33918362,4825
947628,54742,-84119450,33918416,6898
947660,54740,-84119513,33927473,6897
947692,53212,-84130443,33936475,6089
947708,55599,-84130508,33945531,7370
947772,55603,-84119577,33936528,7372
947804,55601,-84119640,33945585,7371
947812,55604,-84108773,33945638,7373
954016,49376,-84081934,33995579,4066
954032,55421,-84098275,34000031,7272
954072,52415,-84082054,34013694,5669
954080,52870,-84147443,34031492,5908
954128,52878,-84125558,34013487,5912
954152,50454,-84125687,34031601,4635
954248,52872,-84125816,34049714,5909
954280,52876,-84103930,34031706,5911
955944,55181,-84065652,34000181,7136
955960,52419,-84065594,33991125,5671
955976,52417,-84065710,34009239,5670
956000,55179,-84054834,34009287,7135
956040,55185,-84054721,33991173,7138
956056,55183,-84054778,34000230,7137
956112,50821,-84038218,33959544,4827
956176,53224,-84043735,33973108,6095
956192,55616,-84043791,33982165,7379
956248,55618,-84032919,33982211,7380
956641,53228,-84021885,33955083,6097
956673,55620,-84032864,33973154,7381
956729,55628,-84021939,33964141,7385
956737,53226,-84021993,33973199,6096
956753,55622,-84022047,33982256,7382
956761,53861,-84022101,33991311,6427
956769,51388,-84043847,33991220,5125
956785,54810,-84043903,34000276,6935
956801,53857,-84043959,34009334,6425
956817,54814,-84032974,33991266,6937
956833,54812,-84033029,34000323,6936
956849,55175,-84065768,34018297,7133
956865,55177,-84054892,34018345,7134
956937,53849,-84060417,34031906,6421
953473,55588,-84109024,33981868,7364
953489,52882,-84109087,33990923,5914
953521,55419,-84109149,33999980,7271
953561,52880,-84103806,34013592,5913
953569,55590,-84098152,33981920,7365
953577,55423,-84098213,33990975,7273
959381,49383,-83994536,33923492,4070
959413,52427,-84000045,33937056,5675
959437,55191,-83989179,33937099,7141
959453,55189,-83989229,33946156,7140
959477,52897,-83972709,33905460,5922
959509,52899,-83972612,33887345,5923
959573,52901,-83950983,33905540,5924
958709,52133,-83972418,33851115,5518
958741,52131,-83972515,33869231,5517
958765,52907,-83950798,33869310,5927
958773,53246,-84016054,33887175,6106
958829,50464,-83994333,33887262,4640
958845,53244,-84016160,33905291,6105
958885,52895,-83994435,33905378,5921
958893,53234,-84016266,33923406,6100
958941,53232,-84016373,33941519,6099
962483,48023,-83994943,33995949,3354
962515,55919,-84011280,34000412,7539
962619,53877,-83973002,33959804,6436
962667,53875,-83973099,33977919,6435
962707,51407,-83951262,33959883,5136
962739,52127,-83973196,33996032,5515
962755,52125,-83973294,34014146,5514
975386,48015,-84160296,34294061,3350
975402,50435,-84160569,34330282,4625
975418,50439,-84116653,34294280,4627
975506,50437,-84116908,34330502,4626
975522,50802,-84072773,34258262,4817
975554,50806,-84028929,34222228,4819
975594,50804,-84029148,34258451,4818
974703,53836,-84017437,34122657,6414
974727,50811,-84028493,34149779,4822
974743,52238,-84148779,34212617,5575
974799,50800,-84126978,34212727,4816
974839,53195,-84127108,34230839,6080
974863,53199,-84105176,34212832,6082
974895,53197,-84105302,34230944,6081
974927,48699,-84072536,34222039,3711
974935,50798,-84116398,34258058,4815
969623,53557,-84191668,34121827,6270
969719,52404,-84169613,34085718,5663
969791,51374,-84169751,34103830,5117
969799,52406,-84147843,34085831,5664
969807,53822,-84126073,34085941,6407
969815,53814,-84147976,34103943,6403
969839,53810,-84169889,34121944,6401
970241,53812,-84148110,34122057,6402
970281,51330,-84202777,34148935,5095
970305,51328,-84213888,34176044,5094
970313,53782,-84214035,34194156,6386
970337,53785,-84192096,34176164,6388
970345,47501,-84159206,34149168,3078
970369,50249,-84170304,34176281,4529
970409,52724,-84148511,34176394,5830
970417,53783,-84192239,34194277,6387
970425,52720,-84170442,34194393,5828
970497,49351,-84246964,34221134,4053
970892,51321,-84247272,34257356,5090
971004,49347,-84247581,34293577,4051
971052,51310,-84247890,34329800,5084
971060,51312,-84204230,34330049,5085
971076,51325,-84203357,34221383,5092
971116,51323,-84203648,34257605,5091
971124,51314,-84203939,34293827,5086
972799,51375,-84126203,34104053,5118
972815,53818,-84104553,34122271,6405
972831,53816,-84126332,34122166,6404
972855,52736,-84104677,34140385,5836
972903,53820,-84104428,34104158,6406
972959,53828,-84082774,34122373,6410
972975,48701,-84072064,34149590,3712
972983,50253,-84126461,34140279,4531
972999,50251,-84126720,34176503,4530
973023,52732,-84126590,34158390,5834
968425,53539,-84278782,34121322,6261
968465,50434,-84289918,34148422,4624
968473,53549,-84257003,34121454,6266
968505,49353,-84257159,34139567,4054
968537,52325,-84234922,34085357,5622
968577,53553,-84240478,34098909,6268
968991,55756,-84240554,34107965,7454
968999,55760,-84229592,34098973,7456
969039,55758,-84229667,34108028,7455
969047,51086,-84213299,34103594,4968
969071,53551,-84235225,34121582,6267
969079,52396,-84235376,34139695,5659
969119,53555,-84213446,34121706,6269
969127,50432,-84290243,34184646,4623
969143,52392,-84257315,34157678,5657
969191,52394,-84235528,34157807,5658
969199,51326,-84246656,34184909,5093
969215,53563,-84191382,34085602,6273
969231,53559,-84191525,34103714,6271
965711,51069,-84376696,34111626,4959
965727,53510,-84409450,34120454,6246
965871,50794,-84377057,34147851,4813
965927,53516,-84365537,34084534,6249
972104,49343,-84313895,34383722,4049
972152,47879,-84314569,34456158,3280
972160,48640,-84402762,34528003,3681
972200,49179,-84315245,34528592,3962
972264,49345,-84226521,34384250,4050
972312,49183,-84227122,34456687,3964
972368,49181,-84227725,34529121,3963
974132,53830,-84060995,34122471,6411
974172,53840,-84038994,34086340,6416
974204,51380,-84039105,34104453,5121
974284,53841,-84017224,34086431,6417
974308,53838,-84017330,34104543,6415
974316,53834,-84039217,34122566,6413
980520,48876,-84052225,34457564,3802
980528,48872,-84140204,34529590,3800
980576,48433,-84140735,34602022,3569
980608,48874,-84052682,34529999,3801
980632,49971,-84053141,34602431,4378
980648,49360,-83986124,34367289,4058
980672,51338,-83986325,34403509,5099
980712,48437,-83964775,34457913,3571
991298,49949,-84230752,34891234,4366
991322,49947,-84231361,34963646,4365
991386,49967,-84141267,34674447,4376
991426,49969,-84053600,34674857,4377
986744,49176,-84404261,34672857,3960
986960,48866,-84493574,34817048,3797
986968,47658,-84492748,34744630,3164
990772,48423,-84318637,34890703,3564
990796,49945,-84319318,34963114,4364
986215,49174,-84491924,34672207,3959
992477,49950,-84143403,34964117,4367
992501,49954,-84054982,34892116,4369
992541,49952,-84055444,34964528,4368
992653,48429,-83967096,34892466,3567
1110516,49998,-83352339,34603546,4393
1110604,48448,-83220310,34784374,3577
1110628,48452,-83220774,34639526,3579
1110692,49990,-83351724,34965647,4389
1122732,48188,-81835358,33759501,3441
1117813,48053,-82526201,34056561,3369
1117893,49027,-82830654,34094773,3882
1117917,49449,-82830101,34167223,4105
1117949,49447,-82829548,34239670,4104
1117973,49443,-82828993,34312114,4102
1118489,47512,-82610834,34274488,3084
1118545,49441,-82828438,34384555,4101
1100976,48454,-83265133,34458546,3580
1101048,48879,-83352462,34531114,3804
1101628,50000,-83264938,34530982,4394
1101804,50024,-83177948,34385918,4407
1101828,50004,-83177682,34458356,4396
1088367,47885,-83636796,34440584,3283
1088383,50376,-83636852,34476802,4595
1088423,48646,-83702590,34531035,3684
1088575,49208,-83614497,34096482,3977
1103589,49445,-82916780,34240099,4103
1103653,48047,-82916297,34312544,3366
1103733,49433,-83090570,34385667,4097
1103797,47454,-83090231,34458104,3047
1104264,49435,-83003192,34385356,4098
1104280,48674,-83089891,34530540,3698
1104360,48677,-83002781,34457794,3700
1104424,48676,-83002368,34530229,3699
1106100,49187,-83702927,34675895,3966
1106228,49190,-83615258,34676004,3968
1106260,47664,-83747110,34784428,3167
1092219,49198,-83549402,34513083,3972
1092307,51181,-83505647,34513093,5017
1092339,51177,-83549423,34549301,5015
1112351,47693,-82956306,34855891,3182
1111879,47913,-82870248,34638280,3297
1107328,49987,-83703433,34893156,4387
1107368,49985,-83703603,34965568,4386
1107432,47883,-83615162,34603576,3282
1107544,51171,-83549464,34621731,5012
1108020,51173,-83505654,34621741,5013
1108036,49192,-83527582,34676053,3969
1108092,48442,-83571541,34784647,3574
1093456,48877,-83439986,34531185,3803
1108591,48450,-83439936,34603617,3578
1108671,49994,-83439886,34676044,4391
1108767,49996,-83352217,34675974,4392
1108807,47666,-83395867,34784637,3168
1074345,52278,-83364361,33924386,5596
1074385,52276,-83364333,33942500,5595
1074425,48467,-83462108,34005966,3587
1074449,50978,-83462124,33969737,4910
1074473,50980,-83429523,33960668,4911
1074521,50618,-83462093,34042194,4721
1074569,53368,-83413224,33956129,6169
1074593,55650,-83413214,33965187,7397
1073740,55660,-83402394,33919893,7402
1073756,55658,-83402385,33928950,7401
1073764,53372,-83407803,33942538,6171
1073780,50990,-83386138,33888176,4916
1073804,53387,-83386114,33906292,6179
1073844,53391,-83364417,33888155,6181
1073876,53389,-83364389,33906270,6180
1073900,48897,-83386091,33924407,3813
1073924,52274,-83391508,33937996,5594
1073948,55076,-83391497,33947053,7079
1073972,55080,-83380641,33937987,7081
1073980,55078,-83380629,33947044,7080
1092721,49194,-83549443,34585516,3970
1092753,51179,-83505649,34549311,5016
1092777,51175,-83505652,34585526,5014
1092897,47668,-83440036,34458749,3169
1092929,48461,-83396384,34350048,3584
1071290,51201,-83549097,33969732,5027
1071330,51202,-83505612,33969742,5028
1071370,49212,-83527378,34024076,3979
1071426,47674,-83462171,33861047,3172
1099106,50031,-83178746,34168580,4411
1099130,50032,-83178745,34168583,4411
1099178,49019,-83091920,34095881,3878
1099242,50030,-83178480,34241030,4410
1099330,50026,-83178214,34313476,4408
1099891,48045,-83090908,34313225,3365
1094576,48497,-83223528,33770155,3603
1094608,50994,-83331883,33860942,4918
1094640,50992,-83331814,33897173,4917
1094704,50988,-83342630,33924361,4915
1094720,53382,-83342598,33942475,6176
1094752,53386,-83320901,33924331,6178
1094776,53384,-83320864,33942445,6177
1094808,50627,-83245025,33860797,4726
1094824,48471,-83288454,33860876,3589
1094840,50624,-83288367,33897108,4724
1094856,50046,-83288280,33933337,4418
1068660,48494,-83613840,33589247,3601
1068724,50114,-83613933,33661716,4454
1068740,50118,-83527243,33589296,4456
1068796,50116,-83527265,33661765,4455
1068812,48493,-83614027,33734182,3600
1068844,50108,-83614120,33806647,4451
1068900,50112,-83527288,33734231,4453
1090960,48889,-83440184,34241422,3809
1095266,50625,-83244920,33897028,4725
1095306,51849,-83244815,33933257,5365
1095394,50986,-83331676,33969631,4914
1095466,51843,-83331607,34005860,5362
1095928,51841,-83331537,34042088,5361
1095960,51845,-83288193,33969566,5363
1096040,51847,-83244710,33969486,5364
1096056,48469,-83266294,34023867,3588
1096120,50050,-83179803,33878761,4420
1076973,51372,-83854206,34150385,5116
1077037,51370,-83854352,34186609,5115
1077053,49202,-83810377,34078046,3974
1077542,51183,-83810505,34114274,5018
1077574,51187,-83766841,34078145,5020
1077638,50298,-83767061,34150598,4555
1077646,51185,-83766951,34114372,5019
1077710,47670,-83810634,34150498,3170
1077750,50294,-83810762,34186723,4553
1102900,48725,-83004422,34168023,3724
1102932,48721,-83091246,34240780,3722
1103004,48723,-83004013,34240470,3723
1103036,49437,-83003603,34312914,4099
1103068,49025,-82917742,34095202,3881
1103116,48049,-82917261,34167653,3367
1102408,50002,-83177414,34530792,4395
1102456,47510,-83091583,34168333,3083
1102496,49021,-83004831,34095571,3879
1100381,48881,-83352584,34458678,3805
1100461,50022,-83265327,34386109,4406
1067375,52358,-83734017,34014814,5639
1067391,49206,-83733969,33996699,3976
1067463,50731,-83723029,33969546,4781
1067527,52362,-83712221,33996737,5641
1067607,52360,-83712264,34014852,5640
1090216,50300,-83462030,34187098,4556
1090256,47672,-83462046,34150873,3171
1090416,50036,-83353192,34096452,4413
1090424,50304,-83418473,34150853,4558
1090440,50302,-83418440,34187077,4557
1066103,50727,-83766511,33969462,4779
1066127,50386,-83766621,34005691,4600
1066143,50382,-83810250,34041820,4598
1066207,50384,-83766731,34041919,4599
1066255,51983,-83722662,33824625,5438
1066295,48654,-83701090,33879003,3688
1089054,48459,-83614591,34168934,3583
1089110,49210,-83527400,34096531,3978
1089174,50020,-83527423,34168983,4405
1097812,49023,-83005239,34023117,3880
1097836,47755,-82875431,33913843,3217
1097868,47753,-82918222,34022748,3216
1097908,48893,-83353071,34168904,3811
1097940,50040,-83266101,34096321,4415
1097972,48465,-83265908,34168773,3586
1098036,48891,-83352949,34241352,3810
1069314,50110,-83527310,33806696,4452
1069466,47683,-83440626,33589287,3177
1069506,48923,-83440577,33661757,3827
1069538,48496,-83440528,33734223,3602
1062977,50106,-83722388,33715928,4450
1063009,51992,-83679030,33715997,5443
1063025,51988,-83722479,33752160,5441
1063057,50104,-83733392,33779317,4449
1063121,52660,-83733440,33797433,5795
1069936,50120,-83440479,33806688,4457
1070008,47891,-83614214,33879111,3286
1070072,51199,-83592542,33933480,5026
