TAZ,pop,hh,emp
1447,1157,568,88
1448,1654,915,609
1449,803,378,256
1450,1559,754,238
1451,1350,651,248
1452,1108,547,228
1453,604,309,123
1454,1238,597,232
1455,1674,728,244
1456,830,327,972
1457,1567,746,706
1458,2696,1089,1992
1459,4823,2355,2213
1460,5108,2683,3024
1461,185,89,17
1462,466,197,219
1463,419,201,416
1464,1087,587,907
1465,622,262,10
1466,2525,1038,556
1467,423,174,10
1468,1101,500,66
1469,627,277,17
1470,1441,535,459
1471,1825,775,159
1472,3875,1587,1174
1473,927,363,381
1474,576,244,233
1475,5167,2152,2084
1476,2944,1209,2047
1477,3776,1548,2133
1478,143,69,112
1479,163,73,44
1480,723,305,241
1481,1372,601,111
1482,1445,598,210
1483,228,101,28
1484,1605,680,68
1485,2140,976,481
1486,1130,511,780
1487,1170,522,231
1488,1422,621,56
1489,1055,485,66
1490,3020,1324,779
1491,2537,1100,3366
1492,5714,2803,3214
1493,6297,2604,7823
1494,1408,603,1101
1495,4430,1922,2301
1496,3876,1617,4133
1497,1599,657,75
1498,2263,904,471
1499,741,308,207
1500,594,250,56
1501,2462,1082,848
1502,4769,2052,1823
1503,402,182,132
1504,748,334,429
1505,619,227,518
1506,274,117,132
1507,971,402,18
1508,1539,651,359
1509,6071,2672,2867
1510,717,299,7
1511,850,373,16
1512,3943,1840,418
1513,3422,1546,2702
1514,2632,1195,3125
1515,167,72,12
1516,986,396,19
1517,1397,610,70
1518,310,135,1
1519,1546,621,637
1520,1621,595,820
1521,2833,1152,324
1522,1544,627,1061
1523,2341,998,227
1524,1319,615,93
1525,1184,472,117
1526,1492,643,187
1527,2479,593,63
1528,1917,821,875
1529,6000,2673,5317
1530,4031,1687,3140
1531,1589,695,275
1532,3489,1446,166
1533,5548,2242,7254
1534,2026,889,909
1535,6827,2828,1748
1536,547,247,27
1537,700,291,280
1538,1628,692,854
1539,1216,533,1375
1540,2430,1053,870
1541,3961,1705,1577
1542,315,120,33
1543,743,326,343
1544,980,405,22
1545,830,356,233
1546,182,76,32
1547,244,111,69
1548,1349,508,119
1549,5795,2521,2823
1550,4786,1980,1453
1551,2227,880,976
1552,2135,879,117
1553,3491,1416,402
1554,862,339,9
1555,1125,485,279
1556,1554,705,290
1557,1632,684,1642
1558,2659,1178,184
1559,1037,414,50
1560,945,412,323
1561,295,126,123
1562,272,108,10
1563,878,344,206
1564,1814,676,369
1565,1273,499,449
1566,1650,661,962
1567,4870,2263,2874
1568,1485,396,853
1569,5965,2486,3616
1570,1055,441,258
1571,1739,656,42
1572,1702,686,255
1573,6435,2391,3165
1574,3792,1369,1920
1575,1848,624,4325
1576,1026,339,73
1577,1957,694,496
1578,436,178,13
1579,1505,621,805
1580,1983,730,2509
1581,636,284,5
1582,250,118,94
1583,678,315,269
1584,540,229,0
1585,869,381,103
1586,1638,687,255
1587,1470,676,543
1588,1186,604,302
1589,346,158,0
1590,2994,1309,2575
1591,1153,534,1078
1592,2335,1014,922
1593,1188,528,42
1594,1475,640,187
1595,1242,508,383
1596,1002,417,644
1597,59,29,0
1598,1014,398,138
1599,1321,505,152
1600,1652,662,523
1601,452,190,578
1602,290,133,0
1603,1016,386,9
1604,9600,4776,6922
1605,5557,2526,2590
1606,478,217,26
1607,1124,513,86
1608,2052,959,166
1609,2829,684,1787
1610,1800,718,266
1611,5263,2757,866
1612,4264,1976,3001
1613,1912,837,474
1614,868,409,2435
1615,418,176,29
1616,1673,751,164
1617,913,378,490
1618,3267,1329,886
1619,1583,705,342
1620,4165,1706,1121
1621,811,360,320
1622,381,166,70
1623,3120,1257,2229
1624,268,121,0
1625,651,276,0
1626,767,329,36
1627,2578,1038,359
1628,3460,1534,1566
1629,1201,515,331
1630,2078,894,1267
1631,1767,756,719
1632,127,60,104
1633,1724,677,437
1634,3823,1080,995
1635,217,95,0
1636,1183,525,1179
1637,3230,1321,655
1638,2429,1011,57
1639,728,332,271
1640,949,444,75
1641,260,120,81
1642,2631,1195,118
1643,1178,524,151
1644,1166,513,139
1645,429,189,97
1646,3464,1430,952
1647,1597,735,455
1648,544,223,280
1649,839,440,1316
1650,541,237,23
1651,335,165,28
1652,748,357,19
1653,1056,462,207
1654,1775,670,487
1655,2499,854,878
1656,1189,528,94
1657,237,103,205
1658,563,277,302
1659,1558,778,387
1660,830,380,342
1661,1499,558,1302
1662,856,450,79
1663,690,333,191
1664,3316,1594,940
1665,729,370,120
1666,1784,826,470
1667,561,251,151
1668,1378,656,272
1669,1078,451,113
1670,2185,853,132
1671,975,411,60
1672,8484,3430,2393
1673,7540,3188,3727
1674,3484,1653,3986
1675,10625,3628,4049
1676,4713,2287,5653
1677,8922,4052,4734
1678,1493,584,153
1679,1497,683,73
1680,2799,1138,867
1681,130,58,103
1682,291,129,103
1683,982,379,73
1684,1080,398,289
1685,940,368,41
1686,1251,543,449
1687,2317,883,181
1688,2421,937,259
1689,1291,484,58
1690,2545,973,408
1691,4334,1422,485
1692,6790,2487,1327
1693,4794,1854,1500
1694,3794,1308,439
1695,6084,2153,991
1696,8609,3261,5666
1697,3126,1230,582
1698,7587,2825,959
1699,727,402,261
1700,514,296,8
1701,2428,1535,129
1702,3910,2227,1062
1703,594,229,652
1704,3075,1814,1248
1705,243,119,36
1706,868,446,84
1707,839,466,37
1708,1100,513,59
1709,2477,1205,436
1710,2192,1035,516
1711,7604,3577,2591
1712,4207,1948,1279
1713,13599,6039,3756
1714,4038,916,2115
1715,7952,4013,4070
2016,9576,4531,3203
2017,10085,4773,3373
2018,8281,3989,2770
2019,29040,14694,20284
2020,11766,5411,8218
2021,28707,13827,20051
2022,15341,7730,10715
2023,28645,12897,20008
2024,17470,7574,12202
2025,11962,5153,8355
2026,31435,13314,21957
2027,17434,7702,12177
2028,39343,20465,27480
2029,15064,7835,10522
2030,14644,6393,10229
2031,5812,2414,4060
2032,6896,2854,4817
2033,6325,2817,4418
2034,10505,4367,7338
2035,8233,3724,5751
2036,4787,2136,3344
2037,9497,3637,6633
2038,21542,9613,10447
2039,13374,6206,6486
2040,12735,5307,6176
2041,11655,5036,5652
2042,13468,5603,6532
2043,8081,3251,3919
2044,5592,2268,2712
2045,7090,3114,3438
2046,1580,812,344
2047,7406,3660,1612
2048,3422,1668,745
2049,3530,1826,769
2050,4802,2977,2183
2051,2386,1379,1085
2052,2500,1506,1136
2053,6130,3636,2786
2054,3975,2416,1807
2055,6516,3889,2962
2056,4845,3173,1606
2057,5163,3302,1711
2058,2421,1746,1213
2059,4205,2694,2107
2060,7989,5815,4003
2061,3845,2703,1927
2062,3162,2360,1584
2063,5129,3648,2570
2064,5643,3887,2827
2065,5507,3378,2584
2066,1828,1279,858
2067,4936,3461,2316
2068,4219,3097,1980
2069,4505,3155,2114
2070,7494,3749,3516
2071,3067,1908,1439
2072,1895,1390,889
2073,2112,1577,991
2074,15834,8172,5715
2075,12886,6698,4651
2076,4311,2267,1556
2077,5858,3309,2114
2078,8409,4203,3035
2079,4370,2137,1577
2080,9166,4590,3308
2081,5705,2939,2059
2082,4028,1994,1454
2083,8606,3943,3485
2084,20367,9257,8249
2085,13043,5697,5282
2086,40189,18835,16277
2087,16616,6916,6730
2088,12903,6177,5226
2089,4589,2003,1859
2090,4153,2010,1682
2091,4288,2073,1737
2092,9096,4073,3684
2093,7302,3041,2957
2094,8015,3892,3246
2095,6490,3137,2628
2096,2040,900,826
2097,6490,2922,2628
2098,8265,3724,3347
2099,5511,2408,2232
2100,3597,1670,1352
2101,3917,1606,1472
2102,2982,1478,1121
2103,6010,2766,2259
2104,6020,2800,2262
2105,3409,1584,1281
2106,2299,1205,460
2107,5755,2432,1151
2108,2172,1179,434
2109,9352,3279,2290
2110,4532,1999,1110
2111,3097,1138,758
2112,8280,3379,2027
2113,13655,6569,6546
2114,11872,5455,5691
2115,20029,8909,9602
2116,19084,8930,9149
2117,12031,5536,5768
2118,15413,6514,7389
2119,4584,1931,2198
2120,5086,2148,2438
2121,4275,1873,2049
2122,4816,1822,2309
2123,8407,3479,4030
2124,5643,2378,2705
2125,4771,2096,2287
2126,2743,1205,1315
2127,5592,2308,2681
2128,10219,4302,4899
2129,3580,1585,1716
2130,5707,2568,1880
2131,4537,1952,1495
2132,4054,1883,1336
2133,5064,2276,1668
2134,3903,1598,1286
2135,5591,2625,2171
2136,1241,618,482
2137,3916,1384,1520
2138,1125,501,323
