TAZ,pop,hh,emp
10081,1716.812662,664.3678616,50.78734756
10082,2288.007853,785.2687268,543.3440041
10083,5280.597343,2192.648702,278.9273374
10084,4521.155151,1806.47021,135.4329268
10085,1715.736965,683.1485785,39.50127033
10086,2795.736911,1159.709271,434.5139736
10087,2191.987605,619.9080051,524.0872185
10088,3953.187052,1469.5911,841.6189024
10089,990.7170815,368.5715698,10.47992886
10090,1487.689168,599.8091471,15.31681911
10091,3851.666275,1447.935933,386.6217185
10092,2224.445467,756.799719,617.1628174
10093,37.86750552,14.46822992,930.7559891
10094,1910.686135,500.8233434,4.295796873
10095,4435.907789,1598.182936,1023.831588
10096,5462.658153,1843.029904,408.1007029
10097,5076.409597,1396.740658,1539.327213
10098,3224.147613,1017.227858,681.5997705
10099,2644.233814,884.7879067,581.3645101
10100,1234.48068,358.3669257,3379.360207
10101,6129.12625,2131.281561,2613.276431
10102,3857.075919,1313.270101,146.0570937
10103,4551.462452,1439.665881,1660.906333
10104,2869.744054,1690.019399,337.7359022
10105,2662.350463,1223.09419,26.60289634
10106,541.0756699,215.9782447,2854.571392
10107,3712.230889,1959.063535,156.3927846
10108,2861.354437,1153.840297,227.3338415
10109,4076.892225,1689.090729,359.5421748
10110,1314.501926,549.3359703,236.2014736
10111,3462.669148,1434.377256,129.7898882
10112,1962.177648,863.9319121,201.5393152
10113,5320.98101,2229.262345,1066.372579
10114,984.4437933,365.7135088,1604.66113
10115,4013.501619,2019.374592,174.7524442
10116,4190.835701,1535.996737,396.700804
10117,3090.405832,1122.581466,158.1700955
10118,1689.945869,730.3669785,159.4456608
10119,56.55519358,26.5009789,1923.552452
10120,1518.363163,584.0815749,114.8008758
10121,5666.063547,2317.245595,420.9365445
10122,3353.051985,1283.707418,232.1528821
10123,4157.569512,1618.663041,187.0264228
10124,2825.856431,1260.655624,241.0383638
10125,482.9880235,173.7216316,687.644563
10126,2816.175157,1205.487268,83.03328252
10127,6077.688937,2445.014586,371.6344004
10128,1121.952135,469.5179234,0
10129,3535.816555,1525.933251,199.1186484
10130,9439.764005,3279.256351,170.9728884
10131,15.33700165,3.180117468,1031.932317
10132,1113.849745,251.22928,10.20452229
10133,2492.262768,1050.498804,1686.297309
10134,5226.064442,1704.881106,280.0418
10135,3920.221447,1377.430038,625.917988
10136,5107.596212,1695.389771,17.68685052
10137,7462.791392,2149.705451,601.8910747
10138,2391.107548,549.4135679,3215.425703
10139,2535.841922,809.1363455,349.005281
10140,2551.391896,667.2877516,1017.264573
10141,1989.200526,576.3847794,224.2788035
10142,2056.18503,731.2195122,225.4230831
10143,2826.506821,844.0990271,2320.599049
10144,2205.704011,863.0787685,2422.439934
10145,4740.349781,1525.371851,1846.86729
10146,4801.353526,2274.572171,1520.747601
10147,252.3880403,89.90403838,5711.099532
10148,3754.720657,1822.055178,4778.51165
10149,2575.314933,1169.751433,1127.115416
10150,4059.145735,2128.463969,767.2704609
10151,2649.409344,1903.349425,7360.421825
10152,3911.459066,2646.584745,1884.816567
10153,3023.101372,2183.253752,2622.434063
10154,312.3926298,225.2732792,716.5041455
10155,3625.647795,2039.264226,1207.24189
10156,1888.555444,1207.031937,3298.622859
10157,4410.604841,2823.823532,1377.123512
10158,6478.195402,4577.938259,1803.891668
10159,1333.127309,461.1171931,964.368639
10160,2277.954994,1139.865707,439.2345392
10161,2401.027218,2022.457649,4285.78005
10162,4066.977604,2134.41938,553.2131222
10163,2539.062414,1636.758325,9071.689667
10164,1542.564095,815.2635058,1824.274625
10165,3444.709158,1985.711877,1866.314473
10166,874.0877764,791.3768043,4346.665517
10167,43.99128853,32.19511934,7995.214766
10168,4657.815304,1672.215114,2246.220874
10169,3126.034505,1498.381462,6330.907958
10170,3032.052079,1355.451593,2689.153234
10171,2668.429597,1170.833845,573.5995354
10172,3118.202636,1268.502589,405.874954
10173,2190.685598,1423.343281,639.3920508
10174,3186.499421,1935.861369,2095.622736
10175,5731.299829,2453.060383,842.0708987
10176,613.9653746,427.8835215,20190.59255
10177,7070.165132,3938.190081,1732.55132
10178,3142.508133,1428.009325,2722.398654
10179,786.1051993,497.4665214,1448.463861
10180,1074.917572,425.806417,2476.529239
10181,782.2798699,301.1801486,1867.588408
10182,2323.416649,1411.960265,36.66473849
10183,822.6615988,321.192053,283.7531935
10184,993.6191696,417.5496689,49.41769101
10185,791.6827102,281.3642384,235.9296216
10186,1472.070894,549.8807947,392.1532899
10187,2916.604999,1041.94702,403.3121234
10188,1584.512787,706.6225166,1418.765968
10189,3044.573551,1630.024689,242.2064385
10190,1934.15837,977.757509,76.67842021
10191,697.3734959,428.4121717,6159.83309
10192,1741.09356,1130.853751,277.5028541
10193,1941.178909,1021.499292,3471.219912
10194,1026.168718,645.8345652,1475.146751
10195,461.0153647,317.7711904,931.0951026
10196,747.6873555,423.2660796,2045.97499
10197,5.850448791,2.573046076,3714.643468
10198,106.478168,72.04529014,3319.080189
10199,623.6578411,410.4008492,1333.961088
10200,2357.730863,1366.287467,2385.550851
10201,504.3086858,406.5412801,1736.827074
10202,60.84466742,47.60135241,8172.945901
10203,1.170089758,1.286523038,2577.855461
10204,6069.255576,2924.266866,2681.310472
10205,1287.098734,894.1335116,3965.369731
10206,7643.0263,4514.409341,1082.017707
10207,438.7836593,180.1132253,1467.844044
10208,1098.714283,485.0191854,45.0333579
10209,1633.445302,694.7224406,29.21082675
10210,1796.087779,715.3068092,35.29641565
10211,671.6315212,272.7428841,5817.822994
10212,1274.227747,656.1267495,326.1875654
10213,1053.080782,539.053153,912.8383359
10214,2241.891977,1043.370184,758.2643777
10215,786.3003175,414.2604183,977.3455783
10216,390.8099792,302.332914,2470.749096
10217,436.3469781,182.2355833,136.2183065
10218,1087.51093,493.1080488,1821.804017
10219,1001.360373,357.324673,50.96603303
10220,949.8938063,366.853331,25.94634409
10221,2017.265645,751.5728956,112.1252727
10222,613.1234462,221.5412973,7.413241168
10223,5094.07126,1933.126481,598.6192243
10224,2559.902272,986.2160976,367.882093
10225,1921.045542,973.1141929,1036.927108
10226,3915.120331,2470.124233,2844.404255
10227,3483.35721,2250.128794,2442.755387
10228,2243.062066,1314.826545,522.1435281
10229,4288.378964,1879.610159,380.9578655
10230,679.8221495,276.6024532,81.54689134
10231,1079.992847,383.3838654,200.8244339
10232,2091.622436,891.6454082,2353.202214
10233,2253.807063,1070.457766,78.54916986
10234,2299.666165,855.3996599,114.5508727
10235,3594.906154,1698.717404,3840.181638
10236,2667.078482,1192.187305,6604.065186
10237,10765.58244,3903.984342,2286.209951
10238,3560.373231,1270.903734,3636.307916
10239,3413.215372,1686.693227,1336.495034
10240,816.249706,346.3044566,683.1250125
10241,3104.078,1263.058649,236.8001405
10242,918.9426003,320.5277495,759.9920738
10243,2436.044842,1294.438988,256.6368014
10244,2160.785538,859.5971463,627.3344035
10245,1345.594522,530.1035857,131.417879
10246,1108.448044,412.427314,685.6045952
10247,5387.671535,2342.318169,1666.279522
10248,2148.081263,1061.327898,1544.779974
10249,1506.515346,708.2990827,792.2266479
10250,2683.689651,1140.874172,353.8944324
10251,4977.274778,2277.89404,1735.995662
10252,5624.389341,2220.07947,1482.53073
10253,3582.077422,1464.635762,221.58255
10254,3639.763565,1699.163966,7150.952916
10255,6651.484787,2850.423468,2189.986943
10256,2749.936841,1149.93925,982.9362975
10257,6126.71518,2511.118775,1163.202186
10258,3044.144058,1007.352064,64.55467629
10259,4335.053273,2322.322779,545.6697166
10260,3500.465455,1086.567167,96.22300806
10261,1352.152351,806.6738021,380.0199812
10262,3309.530975,1346.656756,233.85845
10263,2590.224352,1072.044398,56.02858697
10264,1926.156634,675.9688816,619.968495
10265,3949.581777,1337.414994,453.1007468
10266,79.25582162,25.08478272,25.57826797
10267,830.8774274,295.8614256,62.99295775
10268,860.0725507,278.4064742,165.1815336
10269,403.9973816,171.9312709,194.5782473
10270,1341.397556,514.9210652,74.19170579
10271,290.373118,125.6756498,79.79107981
10272,1974.22158,710.4165205,254.771518
10273,715.6750491,262.697018,34.99608764
10274,1167.804931,426.7735608,93.78951487
10275,908.2050513,317.6801148,71.39201878
10276,604.4179577,240.8783288,247.7723005
10277,631.2459088,229.5326104,145.5837246
10278,108.1008619,44.51012598,89.58998435
10279,344.8180777,130.9121352,55.99374022
10280,377.0753291,138.9988447,335.8908759
10281,751.9716889,273.1699888,320.5641628
10282,1222.249891,500.0843566,118.986698
10283,1364.28022,624.8872588,468.9475743
10284,945.2907484,324.6620954,1098.877152
10285,1837.719605,567.8500567,304.3780332
10286,2866.753103,949.6386054,54.54803462
10287,6592.525474,2491.2911,942.5900383
10288,205.1407857,81.63424214,2629.488928
10289,1686.877108,686.9043438,545.5742333
10290,1092.116413,433.1762939,17.88767978
10291,1964.33371,729.5600739,395.5164752
10292,25.08916084,16.1797597,475.0172742
10293,2379.042781,1364.983364,140.1201583
10294,298.8561806,166.9457024,3903.489232
10295,2778.255605,1372.3378,4493.782665
10296,2523.674414,960.4893715,72.54447911
10297,1020.538513,414.7902033,49.68799939
10298,2827.987964,998.0966479,537.156567
10299,3017.239586,1284.761723,525.0236671
10300,146.1061743,141.2400917,1236.452796
10301,2230.815748,1009.6051,2251.204421
10302,565.7937085,315.9593162,6841.852536
10303,17.65041032,9.416006112,384.9438231
10304,445.1825713,185.1814535,5406.861378
10305,515.7842126,217.6143635,1813.317035
10306,631.492458,361.9931239,7241.135241
10307,2752.728907,1541.046012,4578.79945
10308,10.78655528,4.712678937,1753.40596
10309,1600.724803,620.8954499,7969.271638
10310,0,0,605.2436055
10311,594.3391959,319.283998,6551.034906
10312,1499.331184,891.8744888,2022.095341
10313,2544.54839,933.1104294,394.7240905
10314,2894.032781,987.3062372,407.1890618
10315,2529.447213,860.0639059,459.8189405
10316,1207.015536,410.0030675,186.9745692
10317,3055.83111,1356.073364,1326.826943
10318,1292.229322,382.9051636,1092.762482
10319,2097.985002,910.7252045,862.8530119
10320,1959.195545,829.6547608,1108.505852
10321,3388.878781,1075.517143,37.50169051
10322,2048.428175,652.8430904,3509.717035
10323,2303.378546,1019.021106,9241.960728
10324,1890.555061,1192.694108,3465.597399
10325,1001.170496,551.359469,727.9739922
10326,2103.340563,1110.042498,2321.795839
10327,4356.510338,1297.384505,195.3377593
10328,6229.880278,2233.907095,1425.711958
10329,2431.151299,751.3183264,6950.980008
10330,1441.596059,479.2398982,468.0495662
10331,228.2233369,65.87161947,114.1584308
10332,3255.927528,1053.945912,172.5060732
10333,5411.272247,1937.007477,924.6832893
10334,1587.870475,706.4492523,395.7492267
10335,2647.03824,895.4721604,1142.852735
10336,1807.2821,710.2678969,664.6557525
10337,2610.910221,938.4319122,4051.355866
10338,2511.337877,932.7039453,306.9593361
10339,3470.44431,1272.72266,292.3230625
10340,1457.826779,532.0614439,123.0192888
10341,1637.953647,648.2435955,48.72051041
10342,2341.649275,1204.06957,1310.58173
10343,59.43088139,29.68109637,6506.658526
10344,0,0,1942.685931
10345,2276.586182,1028.237981,1998.810804
10346,30.6740033,12.72046987,1126.324148
10347,703.5849506,236.3887318,288.2777547
10348,960.1369151,382.6869106,9.001772002
10349,102.610052,45.64155815,8.251624335
10350,344.4766031,203.2414683,0
10351,59.0007799,26.91681634,0.750147667
10352,771.4077123,315.5899192,91.51801536
10353,268.2519931,99.86528963,7.501476669
10354,310.0289428,135.7543781,117.023036
10355,117.6350953,55.78412663,108.021264
10356,509.3856153,188.4177144,1.500295334
10357,183.2322357,79.19005388,12.75251034
10358,45.80805893,22.23563089,54.76077968
10359,394.6822357,168.912775,9.001772002
10360,286.2087522,128.3425011,41.25812168
10361,32.5911285,6.360234936,2213.105772
10362,10.74270885,5.708982385,1384.03772
10363,2921.698814,1155.44268,556.1464648
10364,487.908365,179.1466174,1385.263901
10365,258.8119028,104.9438764,5987.503454
10366,766.8500824,297.8710028,62.50269903
10367,670.9938221,217.308027,2220.759163
10368,3652.123518,1489.355014,16.58234872
10369,881.8775948,332.852295,304.8601034
10370,44.09387974,18.02066565,0
10371,569.4857886,224.6969017,373.5735381
10372,119.4674177,45.64155815,54.76077968
10373,507.1868284,202.8513696,25.50502067
10374,582.3120451,226.6473956,258.8009451
10375,624.8219237,237.1800629,55.51092735
10376,328.7186308,125.2217108,10.50206734
10377,380.7565858,154.0890211,2.250443001
10378,89.78379549,37.05938482,20.25398701
10379,616.7597054,246.152335,7.501476669
10380,274.1154246,115.4692411,0
10381,11.72686308,7.411876965,0
10382,178.2923152,70.09210526,3.073068894
10383,257.4322714,101.1328947,9.219206681
10384,127.3516537,54.07105263,64.53444676
10385,247.42607,90.11842105,1.536534447
10386,280.1736381,116.1526316,112.1670146
10387,327.4756809,137.1802632,4.60960334
10388,90.05581226,41.05394737,0
10389,30.01860409,18.02368421,0
10390,268.3481274,122.1605263,9.219206681
10391,137.3578551,60.07894737,3.073068894
10392,185.5695525,74.09736842,6.146137787
10393,225.594358,79.10394737,4.60960334
10394,194.6660992,69.09078947,0
10395,184.6598979,70.09210526,4.60960334
10396,107.339251,49.06447368,9.219206681
10397,701.34375,253.3328947,284.2588727
10398,816.869893,343.4513158,314.9895616
10399,311.1018969,112.1473684,0
10400,118.255107,36.04736842,4.60960334
10401,262.8901994,107.1407895,164.4091858
10402,2428.777967,1040.367105,471.7160752
10403,3694.580717,1558.615866,855.4497851
10404,2643.264446,958.5572931,801.4092745
10405,2064.80407,746.8723344,925.5874691
10406,5801.941817,2067.342622,213.8624463
10407,1044.223432,569.3301109,885.3445356
10408,925.2213656,369.5951095,40.24293344
10409,326.2705667,153.6423088,1260.178716
10410,688.7934186,540.3087859,1901.766054
10411,922.8570861,369.5951095,358.7370066
10412,864.5381925,355.084447,413.9273154
10413,7107.812177,2570.947967,883.0449394
10414,919.7047135,339.7202161,62.0890973
10415,94.57117876,37.55700881,202.3644653
10416,402.7156029,132.3030992,20.69636577
10417,1076.535252,377.2772249,2.299596196
10418,1167.165965,861.2504976,0
10419,3596.09609,1377.310561,83.64207545
10420,112.914346,47.55906633,810.0074675
10421,207.7623966,82.75277541,1601.305523
10422,3743.336398,1363.042841,2627.021501
10423,1590.876589,738.1131082,639.2283416
10424,3032.371534,1438.033637,906.0621906
10425,306.3461115,108.7658236,428.1070545
10426,825.0113102,333.769932,414.4232673
10427,21.99019117,11.62382848,4.887066832
10428,314.6872185,149.4492233,1082.97401
10429,9.099389451,8.302734626,3.909653465
10430,1858.550295,780.4570548,51.80290842
10431,3740.607347,1420.597894,519.9839109
10432,3452.460014,1477.886763,2266.621597
10433,1138.07926,465.3530303,965.8727071
10434,180.2847556,73.41868687,1371.783769
10435,110.2022309,44.16161616,40.34658143
10436,95.98258819,45.81767677,179.7256809
10437,91.41198875,36.98535354,0
10438,408.3068831,158.429798,1.22262368
10439,91.41198875,38.08939394,0
10440,189.9337989,78.38686869,206.6234019
10441,2002.938242,735.8429293,495.1625903
10442,493.1168949,181.0626263,623.5380767
10443,303.6909404,131.3808081,3.667871039
10444,166.5729573,65.13838384,511.0566982
10445,218.3730842,86.66717172,0
10446,109.6943865,45.26565657,0
10447,4655.714759,1992.984685,899.7175046
10448,446.187903,185.7308926,849.1254869
10449,4909.286026,2210.329347,1647.658956
10450,2948.985075,1016.909568,71.1022952
10451,3469.537628,1647.867707,2772.989513
10452,6617.194505,2699.883324,860.455508
10453,1115.343043,474.4507955,1804.218489
10454,0,0,12840.41967
10455,4903.190563,1766.419341,4420.648469
10456,3428.088479,1495.067824,2035.986876
10457,7722.951819,3224.604434,607.1042129
10458,7057.327242,2849.190928,1557.413735
10459,6046.699451,2494.853267,761.6149697
10460,1781.336722,876.0380017,99.04982619
10461,8811.601538,3507.811114,1308.555702
10462,81.2983291,33.29134643,2617.116519
10463,3405.496674,1313.581412,467.7352903
10464,3776.759044,1589.423997,242.1217973
10465,1855.361172,820.6732934,170.7677339
10466,2352.980243,1422.650682,659.5903723
10467,3774.870167,1865.653649,473.2928544
10468,2449.937208,1467.495858,207.1327004
10469,3876.455565,1564.191321,1350.118845
10470,417.1485498,160.4007101,6.439358563
10471,2972.993939,1134.180907,160.9839641
10472,3221.553956,1229.738777,86.9313406
10473,4693.461533,1989.651361,1415.585657
10474,6937.208664,2865.756282,1341.874113
10475,2666.1504,1141.977984,143.5224416
10476,5054.443507,2921.683934,2722.088555
10477,2746.582774,1212.177497,13225.02858
10478,3454.936068,1753.01036,1469.089261
10479,5552.498678,1342.944126,7635.711057
10480,4156.821978,2420.655915,5980.1524
10481,1368.99695,524.7775928,12487.30852
10482,3593.277237,1648.755783,1039.120332
10483,2159.952832,1404.495667,13742.29196
10484,2420.283256,1110.338767,1749.683698
10485,233.9850882,77.12059115,2576.953501
10486,4798.522317,2386.783423,1243.323623
10487,2514.425694,876.0108174,1394.909123
10488,2093.813337,839.6441485,1320.486726
10489,2584.876439,1036.197211,1846.001737
10490,4032.697171,1776.610687,227.7727949
10491,4576.309461,2557.098089,2865.768825
10492,3441.971816,1426.440911,1018.278377
10493,2781.482884,1077.225277,765.1974941
10494,4860.799893,1912.09872,2867.257536
10495,2199.094228,1217.121124,1219.134447
10496,381.1397726,145.3426525,3633.214167
10497,3615.531278,1426.095034,2306.601346
10498,5212.54978,1682.382081,2558.161804
10499,4520.154603,1461.467913,1955.280589
10500,2498.095104,823.6701952,5240.525302
10501,5459.123917,2102.910189,474.4316465
10502,1811.337316,975.5267946,678.2039275
10503,4355.289061,1981.424909,4008.558535
10504,2331.985903,1505.828782,2527.898892
10505,10587.13128,3921.761345,752.7899432
10506,1375.681057,304.1272957,4002.27015
10507,3969.247577,2412.515402,1031.776166
10508,2054.519824,1087.796133,566.4838894
10509,2190.075771,1293.964824,5446.378496
10510,8278.444053,2442.130794,541.8952732
10511,2609.451982,1372.559518,592.9639377
10512,8769.834361,3688.255369,840.741532
10513,9487.717254,5212.628171,6472.097116
10514,4721.339441,2852.065154,4209.424641
10515,6999.621899,2942.249033,322.3240978
10516,3790.912613,1738.294256,217.7288607
10517,4024.892441,2312.089182,410.9098597
10518,2045.401126,1224.246149,2552.977622
10519,3935.914197,2345.908137,2325.643076
10520,5669.342219,2791.191036,5829.583517
10521,6556.92767,2733.698814,562.4662236
10522,4664.217606,2014.482384,1478.208197
10523,2648.475894,1143.080659,384.2274013
10524,2172.82676,1107.007107,2677.851528
10525,598.6807807,277.3154261,4724.929738
10526,4622.060921,2120.914109,1235.513954
10527,2078.160817,779.7306686,860.8203198
10528,2631.694636,898.7913395,4072.878018
10529,2677.733232,1315.503688,5004.736908
10530,1383.299215,552.11468,3164.698652
10531,4899.811889,2025.155664,225.4717328
10532,3401.875502,1436.758001,1020.646852
10533,3521.539465,1637.532746,2765.901333
10534,1256.471605,691.6864045,7690.135131
10535,2749.06585,1201.166827,5137.657423
10536,1438.104405,719.5395483,8104.934273
10537,8798.506521,4612.016395,7829.548951
10538,2117.624763,984.1444144,927.7043052
10539,3755.892915,1427.56079,296.6904986
10540,5487.158263,2717.384725,3132.661649
10541,5469.69712,2034.545986,603.5396055
10542,8690.519291,3389.535052,1284.735549
10543,292.629271,139.2112054,1393.726899
10544,1753.049616,983.7175715,1706.30761
10545,6740.723067,2783.583177,1139.679857
10546,5207.47089,2125.291068,1110.349387
10547,7625.491055,3168.149238,977.7862131
10548,2953.858017,1373.049549,171.8350323
10549,1637.858796,776.7086527,927.4822549
10550,9154.326174,3745.601097,607.7435989
10551,4097.41001,1575.635865,363.6182632
10552,8032.154602,2999.374164,376.4669651
10553,3408.280162,1175.397834,14.13357207
10554,3112.624772,994.5673977,858.2932856
10555,3528.081044,1299.568066,5919.396956
10556,1821.193237,777.5708746,307.0839749
10557,4820.983629,1845.176963,1344.752713
10558,4536.760653,2219.445286,647.1555356
10559,2977.316722,1551.677791,5989.67669
10560,998.5628498,631.364497,6881.527851
10561,3207.610789,1812.695956,969.10689
10562,2458.43594,1519.598351,1059.827249
10563,2705.59773,1299.775147,837.8291945
10564,1704.867104,1025.841617,477.0823566
10565,4814.711673,2658.169816,971.2414867
10566,1825.701757,1029.223512,4588.315551
10567,295.4956514,271.6789337,27503.21085
10568,4274.251225,1865.678984,798.3391561
10569,2633.655482,1332.122209,1647.402566
10570,2918.959153,1486.834951,2899.857806
10571,2756.854794,1820.149901,682.5720077
10572,3634.379723,1568.741696,744.8191405
10573,3377.17414,1440.193609,2241.970006
10574,1622.124283,882.7727022,129.8603977
10575,2752.532011,1104.603471,566.6635536
10576,2028.465876,1112.566627,930.4873124
10577,6170.772589,2156.877633,341.2860038
10578,3826.743562,1743.931124,1041.029634
10579,4787.482061,1889.543116,508.7093265
10580,2897.345238,1035.210256,638.5697242
10581,5157.079999,2410.561026,620.3248749
10582,2324.576504,958.9914793,246.8420783
10583,5826.030653,2144.364103,463.6338165
10584,5579.632027,1877.029586,946.5857088
10585,5151.415283,1951.019263,1217.978346
10586,5619.812136,2467.647514,7660.729575
10587,4195.22908,1473.165285,118.2080573
10588,3653.377381,1428.560444,382.891316
10589,5117.36615,1717.889141,134.9113697
10590,3091.742049,1050.022065,592.3251567
10591,6448.295007,2416.087808,606.2643893
10592,5357.585906,1843.775075,20.43587829
10593,6643.064489,2748.132313,317.4373094
10594,3510.601157,1367.363395,295.6390393
10595,3481.148211,1312.710107,366.4834173
10596,8297.659081,3035.170893,791.5778295
10597,2293.994781,918.9975994,382.3363398
10598,3369.539875,1354.167292,3261.187373
10599,2050.806263,810.6642161,431.898458
10600,8871.037348,3270.947729,811.9855641
10601,4346.684788,1521.011318,696.1822537
10602,4228.873004,1416.860712,242.5057557
10603,2612.761348,886.8269378,683.9207268
10604,3524.852582,1313.741301,205.7211748
10605,3173.317419,1058.005161,21.79827018
10606,4345.734693,1637.536253,1403.263643
10607,9553.205583,3819.542997,990.4589011
10608,8942.294475,3643.208804,1961.844316
10609,5403.753042,2244.400175,1803.555556
10610,4358.731434,1584.347513,27.58096927
10611,4818.861061,1895.705146,5827.601364
10612,1956.068624,663.080061,5445.516206
10613,4484.349988,1511.378016,235.458641
10614,11162.47027,4316.503023,1637.507821
10615,7176.861595,2524.519897,109.1671881
10616,7864.762791,3110.169108,675.2893271
10617,1111.252149,510.7315416,195.0561493
10618,1586.927192,595.1381549,219.7468011
10619,284.86754,115.1649555,5010.967786
10620,460.8941803,191.7031557,13.5798585
10621,4188.359067,1540.063038,375.2979076
10622,2359.563209,970.6760531,182.7108234
10623,2012.21293,799.0015854,51.85036881
10624,7174.713575,2603.725326,771.0679669
10625,3369.313079,1182.616254,549.0467401
10626,6302.119461,2192.053777,2026.014579
10627,9323.955922,3331.143826,1274.687461
10628,4594.16094,1642.352408,1476.500978
10629,4331.428465,1556.228166,346.652136
10630,4581.069178,1659.749191,389.5811931
10631,3731.642338,1245.665089,162.0571905
10632,7843.689571,2693.821854,523.7344965
10633,5134.951601,1872.19778,853.1538048
10634,3419.321273,1176.271874,414.2654009
10635,3185.890997,1100.053097,272.5995125
10636,4877.179806,1707.528126,288.6979089
10637,7463.284676,2683.583511,573.1029121
10638,5552.451769,1993.425377,163.0874704
10639,4552.865883,1707.070872,3709.04078
10640,6496.275633,2180.274456,299.7931442
10641,1863.50762,758.6880466,697.6725888
10642,2594.615738,961.7802478,748.748308
10643,2096.876642,734.5317055,1122.579103
10644,3667.202205,1538.596284,909.5563238
10645,8790.629982,3562.86995,767.7725439
10646,1301.723591,480.1161899,1951.533348
10647,1545.907757,570.0221174,2229.750576
10648,2903.571721,1076.090534,921.5945693
10649,1548.571585,671.9772928,1514.143763
10650,2895.014974,1268.228675,575.7392027
10651,1.062390816,1.061279226,2355.830819
10652,4178.38308,2017.491808,6353.105855
10653,1246.184427,621.9096263,1877.614787
10654,1033.706264,355.5285406,304.3192928
10655,0,0,12325.51885
10656,50.99475917,23.34814297,96.3481931
10657,795.7307212,439.3695994,4133.572479
10658,3.187172448,1.061279226,2407.529849
10659,1.062390816,1.061279226,3112.516628
10660,19.12303469,6.367675354,2469.803682
10661,200.7918642,68.98314967,947.0322395
10662,419.6443723,147.5178124,4037.224286
10663,4513.849516,1530.354799,586.7440908
10664,4831.430731,1628.079891,1133.424158
10665,296.5998731,119.8895464,5.169551461
10666,3229.219198,1185.798287,373.5000931
10667,1659.433374,688.105548,394.1782989
10668,1486.814155,528.9244695,447.1662014
10669,3531.541255,1190.835663,78.83565978
10670,4368.88752,1484.01094,369.6229295
10671,1643.220519,599.4477321,597.0831937
10672,3109.574363,1286.488941,2473.190651
10673,3394.603881,1339.32026,571.147868
10674,0,0,486.8801498
10675,2609.66278,1127.068121,2112.043287
10676,3961.999089,1536.742554,403.9500144
10677,3296.042272,1222.53524,1582.360487
10678,821.3467408,412.455028,1502.105517
10679,2035.164032,890.7174875,1144.970902
10680,1263.18268,589.0099703,669.7374398
10681,4153.948091,1455.013818,573.3892467
10682,6524.142001,2176.683692,212.6710116
10683,1851.747192,663.2995161,271.4199098
10684,4295.159315,1362.891082,665.4719634
10685,3167.171892,1040.421317,1123.444366
10686,4008.928272,1307.262875,353.6087186
10687,6254.741068,2159.938992,1445.130076
10688,7309.900474,2511.092051,467.7948673
10689,3745.561839,1130.817154,381.8483037
10690,5025.979995,1566.281715,542.6911584
10691,3676.968009,1177.753454,498.4900686
10692,2498.170343,884.8361744,2002.554931
10693,3295.04434,1305.524493,453.0611707
10694,5352.012395,2003.484658,1087.837933
10695,2742.906353,1279.448771,4298.555985
10696,1035.682145,358.1065853,179.2599754
10697,463.2200602,180.7916741,66.30163473
10698,1320.219513,511.0841558,17.18931271
10699,1557.333987,596.2648484,386.7595359
10700,3145.704967,1067.844551,63.41855033
10701,1770.232255,618.1633459,129.6557029
10702,3593.324051,1322.94075,1204.952456
10703,4466.068797,1649.226585,1331.789557
10704,2513.639829,891.0569535,607.408782
10705,2623.857593,971.7385418,744.1109905
10706,4845.082945,1879.406411,1636.198598
10707,13.49605277,7.118963676,538.3530272
10708,4775.353339,1688.380885,892.0876079
10709,4092.678003,1587.5289,1257.096598
10710,3593.324051,1257.683583,212.8044689
10711,2267.336866,701.2179221,714.515667
10712,2559.751342,1013.26583,462.2507668
10713,5978.348641,2353.446515,1695.980463
10714,1849.322903,716.616412,230.6709178
10715,4275.999387,1916.187723,500.301897
10716,8028.661157,3828.088955,8679.817109
10717,3826.130961,1395.316881,653.9157189
10718,8172.984625,2867.755868,1372.659289
10719,2500.143776,786.6454862,50.73484026
10720,4035.319779,1413.11429,205.7579633
10721,7815.339226,2623.338115,766.6598084
10722,1450.825673,504.2599271,1475.538271
10723,4694.377023,1627.869694,838.5341654
10724,4890.069788,1818.895219,971.0084706
10725,2759.942792,1006.146866,63.41855033
10726,2052.524692,785.4589923,815.9853476
10727,2581.120093,872.0730503,1823.635647
10728,5045.274395,1924.49318,288.9067293
10729,1907.442125,721.3883192,91.6045727
10730,2553.003316,943.2626871,214.21377
10731,954.8457336,385.6105325,825.8504554
10732,683.8000071,240.858271,69.0557548
10733,6270.041184,2265.016943,453.7949601
10734,3374.013193,1248.191631,3864.303667
10735,1238.707721,464.707914,51.62634828
10736,5079.357059,2009.516648,447.0622074
10737,3626.551706,1458.5387,1848.662642
10738,2303.32634,812.748353,52.14414138
10739,3129.959572,1111.744827,124.0184984
10740,3949.844778,1248.191631,1444.533646
10741,4409.835243,1510.406793,2741.090675
10742,5089.136566,1884.152386,2125.226087
10743,2132.49047,917.6552668,4343.837018
10744,0,0,2356.414047
10745,208.7916962,148.6429549,6576.304256
10746,2360.049959,1594.533516,6469.453559
10747,1181.197967,531.9206566,5725.772705
10748,3999.885865,2227.187415,1953.230749
10749,0,0,9994.101897
10750,0,0,680.9951114
10751,1592.916424,1050.328317,158.1390322
10752,3387.586621,1976.582763,2880.694802
10753,3008.290181,1311.30451,240.5568143
10754,2182.485033,1122.660703,688.7174547
10755,1508.51443,573.9832898,600.8428193
